Date,Open,High,Low,Close,Adj Close,Volume
12/1/2017,42.4875,42.9175,42.125,42.7625,40.544769,159037200
12/4/2017,43.1200,43.154999,42.407501,42.4500,40.248486,130169600
12/5/2017,42.2650,42.880001,42.099998,42.4100,40.210556,109400800
12/6/2017,41.8750,42.549999,41.615002,42.2525,40.061226,114240000
12/7/2017,42.2575,42.610001,42.227501,42.3300,40.134716,102693200
12/8/2017,42.6225,42.75,42.205002,42.3425,40.146561,93420800
12/11/2017,42.3000,43.2225,42.197498,43.1675,40.928764,141095200
12/12/2017,43.0375,43.0975,42.865002,42.9250,40.698845,77636800
12/13/2017,43.1250,43.384998,43,43.0675,40.833958,95273600
12/14/2017,43.1000,43.282501,42.912498,43.0550,40.822113,81906000
12/15/2017,43.4075,43.5425,43.115002,43.4925,41.236919,160677200
12/18/2017,43.7200,44.299999,43.715,44.1050,41.817657,117684400
12/19/2017,43.7575,43.8475,43.522499,43.6350,41.372028,109745600
12/20/2017,43.7175,43.855,43.3125,43.5875,41.326984,93902400
12/21/2017,43.5425,44.005001,43.525002,43.7525,41.483437,83799600
12/22/2017,43.6700,43.855,43.625,43.7525,41.483437,65397600
12/26/2017,42.7000,42.8675,42.419998,42.6425,40.431011,132742000
12/27/2017,42.5250,42.695,42.427502,42.6500,40.43811,85992800
12/28/2017,42.7500,42.962502,42.619999,42.7700,40.55188,65920800
12/29/2017,42.6300,42.647499,42.305,42.3075,40.113377,103999600
1/2/2018,42.5400,43.075001,42.314999,43.0650,40.831585,102223600
1/3/2018,43.1325,43.637501,42.990002,43.0575,40.824486,118071600
1/4/2018,43.1350,43.3675,43.02,43.2575,41.014107,89738400
1/5/2018,43.3600,43.842499,43.262501,43.7500,41.481064,94640000
1/8/2018,43.5875,43.9025,43.482498,43.5875,41.326984,82271200
1/9/2018,43.6375,43.764999,43.352501,43.5825,41.32225,86336000
1/10/2018,43.2900,43.575001,43.25,43.5725,41.312767,95839600
1/11/2018,43.6475,43.872501,43.622501,43.8200,41.54744,74670800
1/12/2018,44.0450,44.34,43.912498,44.2725,41.97646,101672400
1/16/2018,44.4750,44.8475,44.035,44.0475,41.763134,118263600
1/17/2018,44.0375,44.8125,43.767502,44.7750,42.452908,137547200
1/18/2018,44.8425,45.025002,44.5625,44.8150,42.490833,124773600
1/19/2018,44.6525,44.895,44.352501,44.6150,42.301208,129700400
1/22/2018,44.3250,44.445,44.150002,44.2500,41.955132,108434400
1/23/2018,44.3250,44.860001,44.205002,44.2600,41.964619,130756400
1/24/2018,44.3125,44.325001,43.299999,43.5550,41.296181,204420400
1/25/2018,43.6275,43.737499,42.6325,42.7775,40.558994,166116000
1/26/2018,43.0000,43,42.514999,42.8775,40.653812,156572000
1/29/2018,42.5400,42.540001,41.767502,41.9900,39.812336,202561600
1/30/2018,41.3825,41.842499,41.174999,41.7425,39.577682,184192800
1/31/2018,41.7175,42.110001,41.625,41.8575,39.686718,129915600
2/1/2018,41.7925,42.154999,41.689999,41.9450,39.769676,188923200
2/2/2018,41.5000,41.700001,40.025002,40.1250,38.04406,346375200
2/5/2018,39.7750,40.970001,39,39.1225,37.093544,290954000
2/6/2018,38.7075,40.93,38.5,40.7575,38.643761,272975200
2/7/2018,40.7725,40.849998,39.767502,39.8850,37.816509,206434400
2/8/2018,40.0725,40.25,38.7575,38.7875,36.775913,217562000
2/9/2018,39.2675,39.4725,37.560001,39.1025,37.225742,282690400
2/12/2018,39.6250,40.9725,39.377499,40.6775,38.725155,243278000
2/13/2018,40.4875,41.1875,40.412498,41.0850,39.113098,130196800
2/14/2018,40.7600,41.884998,40.720001,41.8425,39.834236,162579600
2/15/2018,42.4475,43.272499,42.25,43.2475,41.171799,204588800
2/16/2018,43.0900,43.705002,42.942501,43.1075,41.038521,160704400
2/20/2018,43.0125,43.564999,42.855,42.9625,40.90049,135722000
2/21/2018,43.2075,43.529999,42.752499,42.7675,40.71484,149886400
2/22/2018,42.9500,43.487499,42.927502,43.1250,41.055191,123967600
2/23/2018,43.4175,43.912498,43.384998,43.8750,41.769184,135249600
2/26/2018,44.0875,44.8475,44.052502,44.7425,42.595047,152648800
2/27/2018,44.7750,45.119999,44.540001,44.5975,42.45702,155712400
2/28/2018,44.8150,45.154999,44.512501,44.5300,42.392746,151128400
